postcode,population_2011,population_2022,population_2023,population_2024
B23  6,11113,11904,12002,12169
B23  7,16568,17748,17893,18142
B24  0,10567,11319,11412,11571
B24  8,8028,8600,8670,8791
B24  9,10275,11007,11097,11251
B25  8,16005,17145,17285,17525
B26  1,10895,11671,11767,11930
B26  2,11456,12272,12372,12544
B26  3,10475,11221,11313,11470
B27  6,9604,10288,10372,10516
B27  7,15230,16314,16448,16677
B28  0,14567,15604,15732,15951
B28  8,7734,8285,8353,8469
B28  9,7735,8286,8354,8470
B29  4,6122,6558,6612,6704
B29  5,10203,10929,11019,11172
B29  6,13598,14566,14686,14890
B29  7,12101,12963,13069,13251
B3   1,2441,2615,2636,2673
B3   2,133,142,144,146
B30  1,10109,10829,10918,11069
B30  2,11521,12341,12443,12615
B30  3,7454,7985,8050,8162
B31  1,11388,12199,12299,12470
B31  2,12076,12936,13042,13223
B31  3,11150,11944,12042,12209
B31  4,9928,10635,10722,10871
B31  5,9760,10455,10541,10687
B32  1,9377,10045,10127,10268
B32  2,12079,12939,13045,13227
B32  3,11942,12792,12897,13076
B32  4,5120,5485,5530,5606
B33  0,10462,11207,11299,11456
B33  8,11937,12787,12892,13071
B33  9,12114,12977,13083,13265
B34  6,11167,11962,12060,12228
B34  7,8160,8741,8813,8935
B35  6,4240,4542,4579,4643
B35  7,5731,6139,6189,6275
B36  0,12698,13602,13714,13904
B36  8,12779,13689,13801,13993
B36  9,9274,9934,10016,10155
B37  5,9965,10675,10762,10912
B37  6,11857,12701,12806,12983
B37  7,13906,14896,15018,15227
B38  0,2084,2232,2251,2282
B38  8,9201,9856,9937,10075
B38  9,10069,10786,10875,11026
B4   6,340,364,367,372
B4   7,4343,4652,4690,4756
B42  1,10974,11755,11852,12017
B42  2,13393,14347,14464,14665
B43  5,10947,11726,11823,11987
B43  6,6541,7007,7064,7162
B43  7,10953,11733,11829,11994
B44  0,15427,16525,16661,16893
B44  8,10020,10733,10822,10972
B44  9,11644,12473,12576,12750
B45  0,7143,7652,7714,7822
B45  8,10605,11360,11453,11612
B45  9,12437,13323,13432,13619
B46  1,7223,7737,7801,7909
B46  2,2147,2300,2319,2351
B46  3,2702,2894,2918,2959
B47  5,6596,7066,7124,7223
B47  6,2759,2955,2980,3021
B48  7,5796,6209,6260,6347
B49  5,4344,4653,4692,4757
B49  6,5845,6261,6313,6400
B5   4,2134,2286,2305,2337
B5   5,865,927,934,947
B5   6,222,238,240,243
B5   7,8762,9386,9463,9594
B50  4,5350,5731,5778,5858
B6   4,1090,1168,1177,1194
B6   5,4388,4700,4739,4805
B6   6,11456,12272,12372,12544
B6   7,2730,2924,2948,2989
B60  1,7692,8240,8307,8423
B60  2,7881,8442,8511,8630
B60  3,9030,9673,9752,9888
B60  4,3348,3586,3616,3666
B61  0,10028,10742,10830,10981
B61  7,5187,5556,5602,5680
B61  8,5803,6216,6267,6354
B61  9,2452,2627,2648,2685
B62  0,6307,6756,6812,6906
B62  8,8042,8615,8685,8806
B62  9,10052,10768,10856,11007
B63  1,5920,6342,6394,6482
B63  2,12109,12971,13078,13259
B63  3,7834,8392,8461,8578
B63  4,10568,11320,11413,11572
B64  5,3740,4006,4039,4095
B64  6,6879,7369,7429,7533
B64  7,5909,6330,6382,6470
B65  0,5899,6319,6371,6459
B65  8,7767,8320,8388,8505
B65  9,10104,10823,10912,11064
B66  1,3650,3910,3942,3997
B66  2,1588,1701,1715,1739
B66  3,7268,7785,7849,7958
B66  4,8828,9457,9534,9667
B67  5,9923,10630,10717,10866
B67  6,10540,11290,11383,11541
B67  7,9924,10631,10718,10867
B68  0,9240,9898,9979,10118
B68  8,9686,10376,10461,10606
B68  9,11662,12492,12595,12770
B69  1,14938,16002,16133,16357
B69  2,5166,5534,5579,5657
B69  3,3550,3803,3834,3887
B69  4,5304,5682,5728,5808
B7   4,3586,3841,3873,3927
B7   5,4960,5313,5357,5431
B70  0,6915,7407,7468,7572
B70  6,6871,7360,7421,7524
B70  7,3039,3255,3282,3328
B70  8,3915,4194,4228,4287
B70  9,7252,7768,7832,7941
B71  1,8545,9153,9229,9357
B71  2,10140,10862,10951,11103
B71  3,8645,9261,9337,9466
B71  4,3660,3921,3953,4008
B72  1,9569,10250,10335,10478
B73  5,13303,14250,14367,14567
B73  6,9498,10174,10258,10400
B74  2,9906,10611,10698,10847
B74  3,11322,12128,12228,12398
B74  4,11242,12042,12141,12310
B75  5,8079,8654,8725,8847
B75  6,8894,9527,9606,9739
B75  7,9714,10406,10491,10637
B76  0,378,405,408,414
B76  1,11672,12503,12606,12781
B76  2,6525,6990,7047,7145
B76  9,3076,3295,3322,3368
B77  1,10716,11479,11573,11734
B77  2,14627,15668,15797,16017
B77  3,8833,9462,9540,9672
B77  4,14200,15211,15336,15549
B77  5,8937,9573,9652,9786
B78  1,10197,10923,11013,11166
B78  2,4379,4691,4729,4795
B78  3,9798,10496,10582,10729
B79  0,3210,3439,3467,3515
B79  7,6117,6553,6606,6698
B79  8,10494,11241,11334,11491
B79  9,2305,2469,2489,2524
B8   1,10570,11323,11416,11574
B8   2,15262,16349,16483,16712
B8   3,16097,17243,17385,17626
B80  7,7060,7563,7625,7731
B9   4,4358,4668,4707,4772
B9   5,20545,22008,22189,22497
B90  1,10555,11307,11399,11558
B90  2,12790,13701,13813,14005
B90  3,10416,11158,11249,11406
B90  4,11598,12424,12526,12700
B91  1,10876,11650,11746,11909
B91  2,11752,12589,12692,12868
B91  3,10538,11288,11381,11539
B92  0,3980,4263,4298,4358
B92  7,12664,13566,13677,13867
B92  8,12428,13313,13422,13609
B92  9,8173,8755,8827,8949
B93  0,3467,3714,3744,3796
B93  8,7783,8337,8406,8522
B93  9,8456,9058,9132,9259
B94  5,3870,4146,4180,4238
B94  6,3510,3760,3791,3843
B95  5,3908,4186,4221,4279
B95  6,1755,1880,1895,1922
B96  6,5073,5434,5479,5555
B97  4,5757,6167,6218,6304
B97  5,16741,17933,18080,18331
B97  6,10996,11779,11876,12041
B98  0,14516,15550,15677,15895
B98  7,19783,21192,21366,21662
B98  8,9422,10093,10176,10317
B98  9,6337,6788,6844,6939
BA1  1,1875,2008,2025,2053
BA1  2,6533,6998,7056,7154
BA1  3,7564,8103,8169,8283
BA1  4,5319,5698,5745,5824
BA1  5,4524,4846,4886,4954
BA1  6,8242,8829,8901,9025
BA1  7,5514,5907,5955,6038
BA1  8,904,968,976,990
BA1  9,248,266,268,272
BA10 0,3739,4005,4038,4094
BA11 1,4992,5347,5391,5466
BA11 2,10935,11714,11810,11974
BA11 3,4944,5296,5340,5414
BA11 4,6285,6732,6788,6882
BA11 5,3424,3668,3698,3749
BA11 6,1874,2007,2024,2052
BA12 0,5660,6063,6113,6198
BA12 6,4285,4590,4628,4692
BA12 7,3068,3286,3313,3359
BA12 8,8989,9629,9708,9843
BA12 9,6506,6969,7026,7124
BA13 2,1303,1396,1407,1427
BA13 3,12876,13793,13906,14099
BA13 4,6045,6475,6529,6619
BA14 0,12465,13353,13462,13649
BA14 6,5938,6361,6413,6502
BA14 7,15181,16262,16395,16623
BA14 8,5810,6224,6275,6362
BA14 9,8744,9367,9444,9575
BA15 1,9149,9800,9881,10018
BA15 2,3990,4274,4309,4369
BA16 0,10396,11136,11228,11384
BA16 9,2645,2833,2857,2896
BA2  0,4579,4905,4945,5014
BA2  1,12851,13766,13879,14072
BA2  2,10477,11223,11315,11472
BA2  3,9376,10044,10126,10267
BA2  4,6277,6724,6779,6873
BA2  5,7220,7734,7798,7906
BA2  6,6122,6558,6612,6704
BA2  7,7173,7684,7747,7854
BA2  8,7655,8200,8267,8382
BA2  9,2022,2166,2184,2214
BA20 1,2173,2328,2347,2379
BA20 2,8692,9311,9387,9518
BA21 3,15100,16175,16308,16534
BA21 4,8900,9534,9612,9746
BA21 5,9619,10304,10389,10533
BA22 7,3881,4157,4191,4250
BA22 8,8965,9603,9682,9817
BA22 9,5320,5699,5746,5825
BA3  2,9801,10499,10585,10732
BA3  3,10411,11152,11244,11400
BA3  4,7556,8094,8160,8274
BA3  5,6942,7436,7497,7601
BA4  4,5159,5526,5572,5649
BA4  5,8299,8890,8963,9087
BA4  6,4317,4624,4662,4727
BA5  1,6065,6497,6550,6641
BA5  2,7253,7769,7833,7942
BA5  3,4216,4516,4553,4617
BA6  8,6437,6895,6952,7049
BA6  9,6433,6891,6948,7044
BA7  7,3514,3764,3795,3848
BA8  0,4153,4449,4485,4548
BA9  8,1484,1590,1603,1625
BA9  9,5758,6168,6219,6305
BB1  1,12317,13194,13302,13487
BB1  2,9179,9833,9913,10051
BB1  3,2784,2982,3007,3048
BB1  4,6625,7097,7155,7254
BB1  5,7773,8326,8395,8511
BB1  6,3458,3704,3735,3787
BB1  7,4369,4680,4719,4784
BB1  8,9813,10512,10598,10745
BB1  9,10227,10955,11045,11199
BB10 1,8813,9440,9518,9650
BB10 2,10448,11192,11284,11441
BB10 3,7988,8557,8627,8747
BB10 4,10183,10908,10998,11150
BB11 2,5203,5573,5619,5697
BB11 3,4093,4384,4420,4482
BB11 4,6065,6497,6550,6641
BB11 5,6860,7348,7409,7512
BB12 0,8089,8665,8736,8857
BB12 6,8530,9137,9212,9340
BB12 7,7169,7679,7743,7850
BB12 8,7891,8453,8522,8641
BB12 9,2934,3143,3169,3213
BB18 5,7710,8259,8327,8442
BB18 6,9469,10143,10227,10369
BB2  1,5685,6090,6140,6225
BB2  2,4447,4764,4803,4869
BB2  3,9919,10625,10713,10861
BB2  4,15182,16263,16397,16624
BB2  5,7070,7573,7636,7742
BB2  6,10432,11175,11267,11423
BB2  7,7189,7701,7764,7872
BB3  0,9303,9965,10047,10187
BB3  1,6392,6847,6903,6999
BB3  2,9402,10071,10154,10295
BB3  3,9406,10076,10158,10300
BB4  4,7473,8005,8071,8183
BB4  5,6006,6434,6486,6577
BB4  6,7795,8350,8419,8536
BB4  7,5874,6292,6344,6432
BB4  8,8676,9294,9370,9500
BB4  9,5577,5974,6023,6107
BB5  0,9702,10393,10478,10624
BB5  1,4946,5298,5342,5416
BB5  2,7686,8233,8301,8416
BB5  3,7911,8474,8544,8663
BB5  4,8846,9476,9554,9686
BB5  5,11513,12333,12434,12607
BB5  6,10498,11245,11338,11495
BB6  7,10800,11569,11664,11826
BB6  8,3859,4134,4168,4226
BB7  1,7591,8131,8198,8312
BB7  2,7177,7688,7751,7859
BB7  3,3067,3285,3312,3358
BB7  4,5080,5442,5486,5563
BB7  9,8784,9409,9487,9618
BB8  0,6062,6494,6547,6638
BB8  7,4630,4960,5000,5070
BB8  8,5092,5455,5499,5576
BB8  9,7257,7774,7838,7946
BB9  0,12189,13057,13164,13347
BB9  5,6357,6810,6866,6961
BB9  6,4788,5129,5171,5243
BB9  7,6726,7205,7264,7365
BB9  8,8116,8694,8765,8887
BB9  9,6422,6879,6936,7032
BD1  1,384,411,415,420
BD1  2,370,396,400,405
BD1  3,1575,1687,1701,1725
BD1  4,751,804,811,822
BD1  5,756,810,816,828
BD10 0,8834,9463,9541,9673
BD10 8,10627,11384,11477,11637
BD10 9,6421,6878,6935,7031
BD11 1,5528,5922,5970,6053
BD11 2,5827,6242,6293,6381
BD12 0,5308,5686,5733,5812
BD12 7,1901,2036,2053,2082
BD12 8,4908,5257,5301,5374
BD12 9,4568,4893,4933,5002
BD13 1,3967,4249,4284,4344
BD13 2,7657,8202,8270,8384
BD13 3,6934,7428,7489,7593
BD13 4,3489,3737,3768,3820
BD13 5,2932,3141,3167,3211
BD14 6,8871,9503,9581,9714
BD15 0,4248,4550,4588,4652
BD15 7,8060,8634,8705,8826
BD15 9,3008,3222,3249,3294
BD16 1,9433,10105,10188,10329
BD16 2,3422,3666,3696,3747
BD16 3,5776,6187,6238,6325
BD16 4,7172,7683,7746,7853
BD17 5,8187,8770,8842,8965
BD17 6,6188,6629,6683,6776
BD17 7,3526,3777,3808,3861
BD18 1,7192,7704,7767,7875
BD18 2,6828,7314,7374,7477
BD18 3,5448,5836,5884,5966
BD18 4,7790,8345,8413,8530
BD19 3,5989,6415,6468,6558
BD19 4,9436,10108,10191,10332
BD19 5,2646,2834,2858,2897
BD19 6,3948,4229,4264,4323
BD2  1,8149,8729,8801,8923
BD2  2,4754,5092,5134,5206
BD2  3,7927,8491,8561,8680
BD2  4,7736,8287,8355,8471
BD20 0,6137,6574,6628,6720
BD20 5,7284,7803,7867,7976
BD20 6,7399,7926,7991,8102
BD20 7,4908,5257,5301,5374
BD20 8,5509,5901,5950,6032
BD20 9,4078,4368,4404,4465
BD21 1,6041,6471,6524,6615
BD21 2,7158,7668,7731,7838
BD21 3,3931,4211,4245,4304
BD21 4,7373,7898,7963,8073
BD21 5,2630,2817,2840,2880
BD22 0,4465,4783,4822,4889
BD22 6,7683,8230,8298,8413
BD22 7,9056,9701,9780,9916
BD22 8,4270,4574,4612,4676
BD22 9,4375,4686,4725,4791
BD23 1,5900,6320,6372,6460
BD23 2,8348,8942,9016,9141
BD23 3,4100,4392,4428,4490
BD23 4,3569,3823,3855,3908
BD23 5,3485,3733,3764,3816
BD23 6,3927,4207,4241,4300
BD24 0,2003,2146,2163,2193
BD24 9,3128,3351,3378,3425
BD3  0,9775,10471,10557,10704
BD3  7,7518,8053,8119,8232
BD3  8,9087,9734,9814,9950
BD3  9,7641,8185,8252,8367
BD4  0,6698,7175,7234,7334
BD4  6,7253,7769,7833,7942
BD4  7,4767,5106,5148,5220
BD4  8,6867,7356,7416,7519
BD4  9,5633,6034,6084,6168
BD5  0,7093,7598,7660,7767
BD5  7,6312,6761,6817,6912
BD5  8,7748,8300,8368,8484
BD5  9,10488,11235,11327,11484
BD6  1,9491,10167,10250,10393
BD6  2,7616,8158,8225,8340
BD6  3,12965,13888,14002,14197
BD7  1,6140,6577,6631,6723
BD7  2,11830,12672,12776,12954
BD7  3,8650,9266,9342,9472
BD7  4,8725,9346,9423,9554
BD8  0,7933,8498,8568,8687
BD8  7,6679,7155,7213,7314
BD8  8,6659,7133,7192,7292
BD8  9,10231,10959,11049,11203
BD9  4,9552,10232,10316,10459
BD9  5,10933,11711,11808,11972
BD9  6,8824,9452,9530,9662
BH1  1,2648,2837,2860,2900
BH1  2,1096,1174,1184,1200
BH1  3,6470,6931,6988,7085
BH1  4,9090,9737,9817,9954
BH10 4,4123,4417,4453,4515
BH10 5,7037,7538,7600,7706
BH10 6,5043,5402,5446,5522
BH10 7,3859,4134,4168,4226
BH11 8,9887,10591,10678,10826
BH11 9,10023,10737,10825,10975
BH12 1,6253,6698,6753,6847
BH12 2,7955,8521,8591,8711
BH12 3,8011,8581,8652,8772
BH12 4,8709,9329,9406,9536
BH12 5,4343,4652,4690,4756
BH13 6,4570,4895,4936,5004
BH13 7,3751,4018,4051,4107
BH14 0,7000,7498,7560,7665
BH14 8,9262,9921,10003,10142
BH14 9,7170,7681,7744,7851
BH15 1,6176,6616,6670,6763
BH15 2,6073,6505,6559,6650
BH15 3,11277,12080,12179,12348
BH15 4,9526,10204,10288,10431
BH16 5,10947,11726,11823,11987
BH16 6,4888,5236,5279,5352
BH17 7,8904,9538,9616,9750
BH17 8,7525,8061,8127,8240
BH17 9,6554,7021,7078,7177
BH18 8,4652,4983,5024,5094
BH18 9,6476,6937,6994,7091
BH19 1,4077,4367,4403,4464
BH19 2,5524,5917,5966,6049
BH19 3,1916,2052,2069,2098
BH2  5,4479,4798,4837,4905
BH2  6,3866,4141,4175,4233
BH20 4,5496,5887,5936,6018
BH20 5,3940,4221,4255,4314
BH20 6,5953,6377,6429,6519
BH20 7,4565,4890,4930,4999
BH21 1,10432,11175,11267,11423
BH21 2,9008,9649,9729,9864
BH21 3,10677,11437,11531,11691
BH21 4,2220,2378,2398,2431
BH21 5,2407,2578,2600,2636
BH21 6,1492,1598,1611,1634
BH21 7,3813,4084,4118,4175
BH21 8,522,559,564,572
BH22 0,7561,8099,8166,8279
BH22 8,10856,11629,11724,11887
BH22 9,8374,8970,9044,9170
BH23 1,5592,5990,6039,6123
BH23 2,12055,12913,13019,13200
BH23 3,8891,9524,9602,9736
BH23 4,9687,10377,10462,10607
BH23 5,6849,7337,7397,7500
BH23 6,501,537,541,549
BH23 7,4485,4804,4844,4911
BH23 8,4758,5097,5139,5210
BH24 1,10473,11219,11311,11468
BH24 2,6859,7347,7408,7511
BH24 3,4879,5226,5269,5343
BH24 4,1384,1483,1495,1515
BH25 5,12352,13231,13340,13525
BH25 6,6598,7068,7126,7225
BH25 7,6767,7249,7308,7410
BH3  7,5740,6149,6199,6285
BH31 6,10168,10892,10981,11134
BH31 7,3192,3419,3447,3495
BH4  8,5323,5702,5749,5829
BH4  9,4059,4348,4384,4445
BH5  1,6383,6837,6894,6989
BH5  2,4863,5209,5252,5325
BH6  3,9043,9687,9766,9902
BH6  4,3617,3875,3906,3961
BH6  5,9539,10218,10302,10445
BH7  6,8130,8709,8780,8902
BH7  7,3690,3953,3985,4041
BH8  0,7307,7827,7892,8001
BH8  8,12631,13530,13641,13831
BH8  9,8077,8652,8723,8844
BH9  1,12693,13597,13708,13899
BH9  2,8878,9510,9588,9721
BH9  3,10048,10763,10852,11003
BL0  0,5575,5972,6021,6105
BL0  9,12178,13045,13152,13335
BL1  1,413,442,446,452
BL1  2,4243,4545,4582,4646
BL1  3,9919,10625,10713,10861
BL1  4,9093,9740,9820,9957
BL1  5,12151,13016,13123,13305
BL1  6,8641,9256,9332,9462
BL1  7,8374,8970,9044,9170
BL1  8,10965,11746,11842,12007
BL2  1,3922,4201,4236,4295
BL2  2,8402,9000,9074,9200
BL2  3,8526,9133,9208,9336
BL2  4,4708,5043,5085,5155
BL2  5,9312,9975,10057,10197
BL2  6,10663,11422,11516,11676
BL3  1,12315,13192,13300,13485
BL3  2,9408,10078,10161,10302
BL3  3,14867,15926,16056,16279
BL3  4,14244,15258,15384,15597
BL3  5,7974,8542,8612,8732
BL3  6,5470,5859,5908,5990
BL4  0,10178,10903,10992,11145
BL4  7,6773,7255,7315,7416
BL4  8,8127,8706,8777,8899
BL4  9,8372,8968,9042,9167
BL5  1,2664,2854,2877,2917
BL5  2,12536,13429,13539,13727
BL5  3,11840,12683,12787,12965
BL6  4,5996,6423,6476,6566
BL6  5,10071,10788,10877,11028
BL6  6,6889,7379,7440,7543
BL6  7,6472,6933,6990,7087
BL7  0,3180,3406,3434,3482
BL7  8,687,736,742,752
BL7  9,11092,11882,11979,12146
BL8  1,12753,13661,13773,13965
BL8  2,10344,11080,11172,11327
BL8  3,8287,8877,8950,9074
BL8  4,4413,4727,4766,4832
BL9  0,2526,2706,2728,2766
BL9  5,6689,7165,7224,7324
BL9  6,8736,9358,9435,9566
BL9  7,9964,10673,10761,10911
BL9  8,9409,10079,10162,10303
BL9  9,10898,11674,11770,11933
BN1  1,2003,2146,2163,2193
BN1  2,4947,5299,5343,5417
BN1  3,10243,10972,11062,11216
BN1  4,8809,9436,9514,9646
BN1  5,10150,10873,10962,11114
BN1  6,17167,18389,18540,18798
BN1  7,8422,9022,9096,9222
BN1  8,14489,15521,15648,15865
BN1  9,8545,9153,9229,9357
BN10 7,9126,9776,9856,9993
BN10 8,9453,10126,10209,10351
BN11 1,4628,4958,4998,5068
BN11 2,9066,9711,9791,9927
BN11 3,4200,4499,4536,4599
BN11 4,8956,9594,9672,9807
BN11 5,6428,6886,6942,7039
BN12 4,7807,8363,8432,8549
BN12 5,4415,4729,4768,4834
BN12 6,7905,8468,8537,8656
BN13 1,8137,8716,8788,8910
BN13 2,10512,11260,11353,11511
BN13 3,8887,9520,9598,9731
BN14 0,5739,6148,6198,6284
BN14 7,10779,11546,11641,11803
BN14 8,6774,7256,7316,7418
BN14 9,7444,7974,8040,8151
BN15 0,8486,9090,9165,9292
BN15 8,7801,8356,8425,8542
BN15 9,11084,11873,11971,12137
BN16 1,6626,7098,7156,7255
BN16 2,6920,7413,7474,7577
BN16 3,8060,8634,8705,8826
BN16 4,6728,7207,7266,7367
BN17 5,6494,6956,7014,7111
BN17 6,13671,14644,14765,14970
BN17 7,8127,8706,8777,8899
BN18 0,8600,9212,9288,9417
BN18 9,4868,5215,5257,5330
BN2  0,6966,7462,7523,7628
BN2  1,10122,10843,10932,11084
BN2  3,12387,13269,13378,13564
BN2  4,16183,17335,17478,17720
BN2  5,12830,13743,13856,14049
BN2  6,9793,10490,10576,10723
BN2  7,4375,4686,4725,4791
BN2  8,8561,9171,9246,9374
BN2  9,11526,12347,12448,12621
BN20 0,1620,1735,1750,1774
BN20 7,5862,6279,6331,6419
BN20 8,8331,8924,8997,9122
BN20 9,5138,5504,5549,5626
BN21 1,6943,7437,7498,7603
BN21 2,9050,9694,9774,9910
BN21 3,5506,5898,5946,6029
BN21 4,4276,4580,4618,4682
BN22 0,9479,10154,10237,10380
BN22 7,4774,5114,5156,5228
BN22 8,10355,11092,11183,11339
BN22 9,7638,8182,8249,8364
BN23 5,6273,6720,6775,6869
BN23 6,6715,7193,7252,7353
BN23 7,7246,7762,7826,7934
BN23 8,8068,8642,8713,8834
BN24 5,6255,6700,6755,6849
BN24 6,3036,3252,3279,3324
BN25 1,4666,4998,5039,5109
BN25 2,7255,7772,7835,7944
BN25 3,8838,9467,9545,9678
BN25 4,2812,3012,3037,3079
BN26 5,6296,6744,6800,6894
BN26 6,5130,5495,5540,5617
BN27 1,6219,6662,6717,6810
BN27 2,5172,5540,5586,5663
BN27 3,10992,11775,11871,12036
BN27 4,4459,4776,4816,4883
BN3  1,10441,11184,11276,11433
BN3  2,6869,7358,7419,7522
BN3  3,12625,13524,13635,13824
BN3  4,7776,8330,8398,8515
BN3  5,11938,12788,12893,13072
BN3  6,11499,12318,12419,12591
BN3  7,10367,11105,11196,11352
BN3  8,7998,8567,8638,8758
BN41 1,6557,7024,7082,7180
BN41 2,14358,15380,15507,15722
BN42 4,9991,10702,10790,10940
BN43 5,11302,12107,12206,12376
BN43 6,11190,11987,12085,12253
BN44 3,10125,10846,10935,11087
BN45 7,669,717,723,733
BN5  9,7106,7612,7674,7781
BN6  8,8684,9302,9379,9509
BN6  9,8716,9337,9413,9544
BN7  1,8670,9287,9364,9494
BN7  2,8333,8926,9000,9125
BN7  3,4187,4485,4522,4585
BN8  4,5969,6394,6447,6536
BN8  5,6121,6557,6611,6702
BN8  6,4220,4520,4558,4621
BN9  0,3931,4211,4245,4304
BN9  9,9546,10226,10310,10453
BR1  1,475,509,513,520
BR1  2,11771,12609,12713,12889
BR1  3,12689,13592,13704,13894
BR1  4,14203,15214,15339,15552
BR1  5,17193,18417,18568,18826
BR2  0,11719,12553,12657,12832
BR2  6,2332,2498,2519,2554
BR2  7,9093,9740,9820,9957
BR2  8,10727,11491,11585,11746
BR2  9,10969,11750,11847,12011
BR3  1,8987,9627,9706,9841
BR3  3,13060,13990,14105,14301
BR3  4,12874,13791,13904,14097
BR3  5,6772,7254,7314,7415
BR3  6,5631,6032,6081,6166
BR4  0,9058,9703,9783,9919
BR4  9,9928,10635,10722,10871
BR5  1,11828,12670,12774,12952
BR5  2,12838,13752,13865,14058
BR5  3,10607,11362,11456,11615
BR5  4,10439,11182,11274,11431
BR6  0,9444,10116,10200,10341
BR6  6,6647,7120,7179,7278
BR6  7,7890,8452,8521,8640
BR6  8,8225,8811,8883,9006
BR6  9,14622,15663,15792,16011
BR7  5,6610,7081,7139,7238
BR7  6,10690,11451,11545,11706
BR8  7,14884,15944,16075,16298
BR8  8,7088,7593,7655,7761
BS1  1,1210,1296,1307,1325
BS1  2,542,581,585,593
BS1  3,2366,2534,2555,2591
BS1  4,529,567,571,579
BS1  5,3157,3382,3410,3457
BS1  6,4187,4485,4522,4585
BS10 5,9500,10176,10260,10402
BS10 6,10223,10951,11041,11194
BS10 7,7882,8443,8513,8631
BS11 0,9574,10256,10340,10484
BS11 9,7780,8334,8402,8519
BS13 0,7542,8079,8145,8258
BS13 7,8316,8908,8981,9106
BS13 8,7339,7862,7926,8036
BS13 9,6388,6843,6899,6995
BS14 0,8866,9497,9575,9708
BS14 8,7765,8318,8386,8503
BS14 9,11524,12345,12446,12619
BS15 1,11936,12786,12891,13070
BS15 3,8812,9439,9517,9649
BS15 4,11104,11895,11992,12159
BS15 8,7373,7898,7963,8073
BS15 9,8102,8679,8750,8872
BS16 1,12172,13039,13146,13328
BS16 2,9075,9721,9801,9937
BS16 3,6854,7342,7402,7505
BS16 4,9181,9835,9915,10053
BS16 5,9998,10710,10798,10948
BS16 6,10598,11353,11446,11605
BS16 7,7880,8441,8510,8629
BS16 9,10150,10873,10962,11114
BS2  0,2919,3127,3153,3196
BS2  8,5953,6377,6429,6519
BS2  9,6727,7206,7265,7366
BS20 0,4828,5172,5214,5287
BS20 6,7966,8533,8603,8723
BS20 7,11362,12171,12271,12441
BS20 8,5847,6263,6315,6402
BS21 5,4861,5207,5250,5323
BS21 6,8926,9562,9640,9774
BS21 7,9496,10172,10256,10398
BS22 6,7979,8547,8617,8737
BS22 7,10339,11075,11166,11321
BS22 8,10599,11354,11447,11606
BS22 9,8525,9132,9207,9335
BS23 1,4940,5292,5335,5409
